Componente,Unidade,Exigencias,LimInf,LimSup,Algodao_Farelo_39,Amido,Arroz_Farelo,Arroz_Farelo_Deseng,Carne_e_Ossos_Farinha_50,Citrus_Polpa,Mandioca_Integral_Raspa,Milho_7_88,Milho_Farelo_de_Glúten_60,oleo_de_Soja,Soja_Farelo_48,Trigo_Farelo,Lisina_HCL,Metionina,Fosfato_BicAlcico,CalcArio_Calcitico,Sal_Comum,Excipiente
Tipo_de_Alimento,-,0,1000000,1000000,1,9,1,1,2,1,1,1,1,1,1,1,4,4,3,3,3,3
Preco,R$/kg,0,1000000,1000000,"0,56","1,33","0,46","0,49","0,54","0,45","0,24","0,65","0,88","1,12","0,88","0,54","4,43","3,54","2,32","0,12","0,54","0,11"
Materia_Seca,%,0,10000,10000,"0,8983","0,885","0,8934","0,8972","0,9395","0,8844","0,8767","0,8748","0,9111","0,996","0,8918","0,8838",1,1,1,1,1,1
Energia_Bruta,Kcal/kg,0,1000000,1000000,"39,21",0,"13,13","15,29","50,36","6,37","2,47","7,88","61,07",0,"48,1","15,62","85,81","59,38",0,0,0,0
Energia_Met_Aves,Kcal/kg,0,1000000,1000000,"78,73",0,"77,7","77,7","81,5","27,7",46,87,94,0,"91,4",77,0,0,0,0,0,0
Energia_Met_Galinhas,Kcal/kg,0,1000000,1000000,"30,87",0,"10,2","11,88","41,04","1,76","1,14","6,86","57,41",0,"43,96","12,03",0,0,0,0,0,0
Energia_Met_Verd_Aves,Kcal/kg,2950,1,1,"1,37",0,"14,49","1,65","12,65","2,02","0,59","3,65","2,3","99,6","1,45","3,5",0,0,0,0,0,0
Proteina_Bruta,%,"19,8","0,01","0,01","0,85",0,"0,785","0,62","0,7",0,"0,2","0,92","0,95","0,95","0,5","0,65",0,0,0,0,0,0
Coef_Dig_PB_Aves,%,0,1000000,1000000,"0,0116",0,"0,1137","0,0102","0,0886",0,"0,0012","0,0336","0,0219","0,9462","0,0073","0,0228",0,0,0,0,0,0
PB_Digestivel_Aves,%,0,1000000,1000000,"0,0074",0,"0,0237","0,0049","0,0039","0,0045","0,0008","0,0191","0,0121","0,5257","0,0077","0,0154",0,0,0,0,0,0
Lisina_Dig_,%,"1,131","0,03","0,03",0,0,"0,0002",0,"0,0008","0,0008",0,"0,0003","0,0002","0,0694","0,001",0,0,0,0,0,0,0
Metionina_Dig_,%,"0,452","0,03","0,03","0,04","0,877","0,227","0,26",0,0,"0,6785","0,6266","0,158",0,"0,03","0,3135",0,0,0,0,0,0
Met_Cis_Dig_,%,"0,826","0,03","0,03","0,1397",0,"0,0807","0,1086",0,"0,127","0,0542","0,0173","0,0112",0,"0,0419","0,095",0,0,0,0,0,0
Treonina_Dig_,%,"0,735","0,03","0,03","0,294",0,"0,2153","0,243",0,0,"0,1175","0,1193","0,0639",0,"0,1493","0,401",0,0,0,0,0,0
Triptofano_Dig_,%,"0,204","0,03","0,03","0,17",0,"0,1258","0,158",0,0,"0,0427","0,0338","0,0863",0,"0,1228","0,1364",0,0,0,0,0,0
Arginina_Dig_,%,"1,221","0,03","0,03","0,2907","0,877","0,4467","0,5184","0,0013","0,611","0,7559","0,7295","0,2502",0,"0,2974","0,5506",0,0,0,0,0,0
Gli_Ser_Dig_,%,"1,515","0,03","0,03","0,42","0,971","0,554","0,554",0,0,"0,93","0,918","0,98",0,"0,27","0,473",0,0,0,0,0,0
Valina_Dig_,%,"0,882","0,03","0,03","0,1221","0,8516","0,2475","0,2872",0,0,"0,703","0,6697","0,2452",0,"0,0803","0,2604",0,0,0,0,0,0
Isoleucina_Dig_,%,"0,769","0,03","0,03","0,3083","0,0254","0,2799","0,3398",0,0,"0,1071","0,0771","0,0162",0,"0,259","0,3852",0,0,0,0,0,0
Leucina_Dig_,%,"1,221","0,03","0,03","0,8362","0,877","0,8036","0,7964","0,6288","0,8219","0,8407","0,8621","0,8951","0,996","0,8348","0,8368",0,0,0,0,0,0
Histidina_Dig_,%,"0,418","0,03","0,03","0,0621",0,"0,0898","0,1008","0,3107","0,0626","0,036","0,0127","0,016",0,"0,057","0,047",0,0,1,1,1,1
Fenilalanina_Dig_,%,"0,713","0,03","0,03","0,0134",0,"0,014","0,0159","0,0054","0,0075","0,0052","0,0029","0,0013",0,"0,0211","0,0103",0,0,0,0,0,0
Fen_Tir_Dig_,%,"1,301","0,03","0,03","0,0011",0,"0,0004","0,0004","0,0059","0,0007","0,0003","0,0002","0,0001",0,"0,0002","0,0002",0,0,0,0,"0,397",0
Gordura,%,0,10000,10000,"0,0004",0,"0,0006","0,0007","0,006","0,0005","0,0005","0,0006","0,0005",0,"0,0005","0,0006",0,0,0,0,"0,596",0
Coef_Dig_Gordura_Aves,%,0,10000,10000,"41,7","37,37","43,35","37,4","39,84","37,01","36,21","39,4","50,1","93,33","41,61","39,14","49,01","56,84",0,0,0,0
Gordura_Dig_Aves,%,0,10000,10000,"19,47","35,28","25,21","17,95","25,91",11,"29,73","33,81","36,96","87,9","22,95","17,95","37,62","48,58",0,0,0,0
Acido_Linoleico,%,"1,04","0,05","0,05","20,39","35,36","26,05","18,97",0,0,"30,05","34,04","37,01",0,"23,73","19,11","37,62","48,58",0,0,0,0
Amido,%,0,10000,10000,"0,0119",0,"0,0049","0,0054","0,0217",0,0,"0,0019","0,0091",0,"0,0271","0,0047","0,998",0,0,0,0,0
Fibra_Bruta,%,0,10000,10000,"0,0047",0,"0,002","0,0025","0,0054",0,0,"0,0015","0,0133",0,"0,006","0,0018",0,"0,992",0,0,0,0
FDN,%,0,10000,10000,"0,0094",0,"0,0038","0,0043","0,0092",0,0,"0,0029","0,0227",0,"0,0122","0,0043",0,0,0,0,0,0
FDA,%,0,10000,10000,"0,0098",0,"0,0035","0,0042","0,0129",0,0,"0,0027","0,0192",0,"0,0165","0,0037",0,0,0,0,0,0
Ext_Nao_Nitrogenado,%,0,10000,10000,"0,0036",0,"0,0012","0,0014","0,0022",0,0,"0,0005","0,0029",0,"0,0061","0,0019",0,0,0,0,0,0
Coef_Dig_ENN_Aves,%,0,10000,10000,"0,0396",0,"0,0085","0,0097","0,0326",0,0,"0,0034","0,0188",0,"0,0326","0,0093",0,0,0,0,0,0
ENN_Dig_Ave,%,0,10000,10000,"0,0254",0,"0,011","0,0127","0,0728",0,0,"0,006","0,042",0,"0,0423","0,0097",0,0,0,0,0,0
ENN_Nao_Dig__FB_Aves,%,0,10000,10000,"0,0135",0,"0,0053","0,0062","0,0183",0,0,"0,0033","0,0268",0,"0,0208","0,0052",0,0,0,0,0,0
Materia_Orgânica,%,0,10000,10000,"0,0095",0,"0,0034","0,004","0,0121",0,0,"0,0024","0,0239",0,"0,0205","0,0037",0,0,0,0,0,0
Materia_Mineral,%,0,10000,10000,"0,0185",0,"0,0071","0,0082","0,0243",0,0,"0,009","0,1035",0,"0,034","0,0073",0,0,0,0,0,0
Ca,%,"0,758","0,02","0,02","0,0089",0,"0,0028","0,0033","0,0068",0,0,"0,0021","0,0119",0,"0,0114","0,0034",0,0,0,0,0,0
P_total,%,0,10000,10000,"0,0189",0,"0,0044","0,0051","0,0121",0,0,"0,0034","0,0374",0,"0,0231","0,0047",0,0,0,0,0,0
P_fit_,%,0,10000,10000,"0,0266",0,"0,0078","0,0085","0,021",0,0,"0,0058","0,0695",0,"0,0386","0,0077",0,0,0,0,0,0
P_disp_,%,"0,354","0,02","0,02","0,0043",0,"0,0011","0,001","0,1056","0,0157","0,002","0,0003","0,0003",0,"0,0031","0,0014",0,0,"0,245","0,377",0,0
P_dig_,%,0,10000,10000,"0,0103",0,"0,0167","0,0189","0,0528","0,002","0,0009","0,0025","0,0047",0,"0,0063","0,0097",0,0,"0,185",0,0,0
Sodio,%,"0,2","0,02","0,02","0,0059",0,"0,0143","0,0161",0,"0,0013","0,0006","0,0019","0,0041",0,"0,0039","0,0064",0,0,0,0,0,0
Cloro,%,"0,18","0,02","0,02","0,0044",0,"0,0024","0,0028","0,0475","0,0007","0,0003","0,0006","0,0006",0,"0,0024","0,0033",0,0,"0,185",0,0,0
Potassio,%,"0,58","0,02","0,02","0,0039",0,"0,0048","0,0055","0,0327",0,"0,0012","0,0011","0,0015",0,"0,0028","0,0048",0,0,"0,129",0,0,0
Magnesio,%,0,10000,10000,"0,0048",0,"0,0081","0,0075","0,0042",0,"0,0009","0,0009","0,0006",0,"0,0023","0,0043",0,0,"0,0091","0,0023",0,0
Enxofre,%,0,10000,10000,"0,0033",0,"0,0016","0,0017","0,0089",0,0,"0,0053","0,0053",0,0,"0,0021",0,0,0,0,0,0
Cobalto,mg/kg,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobre,mg/kg,11,3,3,"10,5",0,"28,2","14,7","8,5",0,"4,5","2,1","19,1",0,0,15,0,0,"11,7",0,0,0
Ferro,mg/kg,55,3,3,"157,9",0,"115,4","170,1","247,7",0,"92,6","23,5","112,9",0,168,"141,9",0,0,4023,0,0,0
Manganes,mg/kg,77,5,5,"14,3",0,"194,5","170,3",20,0,"23,9","5,3","3,1",0,"31,7","102,7",0,0,"284,2",0,0,0
Selenio,mg/kg,"0,33",2,2,"0,58",0,"0,35",0,"0,37",0,"0,15","0,07","0,2",0,"0,34","0,31",0,0,0,0,0,0
Zinco,mg/kg,"71,5",5,5,"56,7",0,"49,8","47,7","80,8",0,"11,1","21,5","25,3",0,"44,8","134,5",0,0,"40,3",0,0,0
